score_min,score_max,edge_score,score_median,total_edges,cut_edges,cut_rate,bin_left,bin_right
219.641271,219.862732,219.75496375,219.757926,4,2,0.5,219.604,219.881
219.905945,220.088647,219.97330257142858,219.956637,7,2,0.2857142857142857,219.881,220.159
220.176893,220.331749,220.2299995,220.20567799999998,4,0,0.0,220.159,220.436
220.660919,220.660919,220.660919,220.660919,1,0,0.0,220.436,220.713
220.770013,220.851064,220.8105385,220.8105385,2,1,0.5,220.713,220.99
221.098599,221.257086,221.16602366666666,221.142386,3,1,0.3333333333333333,220.99,221.268
221.479392,221.479392,221.479392,221.479392,1,0,0.0,221.268,221.545
221.557651,221.773136,221.65613900000002,221.63763,3,0,0.0,221.545,221.822
221.891396,221.955121,221.91397833333335,221.895418,3,1,0.3333333333333333,221.822,222.1
222.390843,222.390843,222.390843,222.390843,1,0,0.0,222.377,222.654
222.695625,222.695625,222.695625,222.695625,1,0,0.0,222.654,222.931
222.952035,223.047412,223.01229,223.037423,3,1,0.3333333333333333,222.931,223.209
223.549406,223.703666,223.607708,223.570052,3,0,0.0,223.486,223.763
223.833903,224.039997,223.93695,223.93695,2,0,0.0,223.763,224.041
224.045296,224.06187,224.053583,224.053583,2,0,0.0,224.041,224.318
224.520784,224.520784,224.520784,224.520784,1,0,0.0,224.318,224.595
224.629484,224.804912,224.74591266666667,224.803342,3,1,0.3333333333333333,224.595,224.872
224.952827,225.116774,225.0449125,225.0550245,4,1,0.25,224.872,225.15
225.310352,225.310352,225.310352,225.310352,1,0,0.0,225.15,225.427
225.458932,225.687891,225.54869933333336,225.499275,3,2,0.6666666666666666,225.427,225.704
225.878055,225.934297,225.91268233333332,225.925695,3,0,0.0,225.704,225.981
226.067651,226.067651,226.067651,226.067651,1,1,1.0,225.981,226.259
226.734625,226.81307,226.7738475,226.7738475,2,0,0.0,226.536,226.813
227.051843,227.051843,227.051843,227.051843,1,1,1.0,226.813,227.091
227.431821,227.432853,227.43233700000002,227.43233700000002,2,0,0.0,227.368,227.645
227.666827,227.666827,227.666827,227.666827,1,0,0.0,227.645,227.922
227.925025,228.17129,228.07200266666666,228.119693,3,1,0.3333333333333333,227.922,228.2
228.331612,228.454541,228.38877300000001,228.380166,3,0,0.0,228.2,228.477
228.540059,228.596139,228.566908,228.564526,3,0,0.0,228.477,228.754
228.990551,228.999688,228.9951195,228.9951195,2,0,0.0,228.754,229.032
229.179483,229.217561,229.198522,229.198522,2,0,0.0,229.032,229.309
229.434264,229.569885,229.5020745,229.5020745,2,1,0.5,229.309,229.586
229.718336,229.790264,229.7543,229.7543,2,1,0.5,229.586,229.863
229.94577,229.94577,229.94577,229.94577,1,0,0.0,229.863,230.141
230.145061,230.264347,230.21270099999998,230.220698,4,2,0.5,230.141,230.418
230.579559,230.579559,230.579559,230.579559,2,0,0.0,230.418,230.695
230.704342,230.958514,230.806456,230.80262199999999,6,1,0.16666666666666666,230.695,230.972
231.12629,231.12629,231.12629,231.12629,2,0,0.0,230.972,231.25
231.429782,231.429782,231.429782,231.429782,1,0,0.0,231.25,231.527
231.85826,231.85826,231.85826,231.85826,1,0,0.0,231.804,232.082
232.183795,232.188101,232.185948,232.185948,2,0,0.0,232.082,232.359
232.644572,232.644572,232.644572,232.644572,1,1,1.0,232.636,232.913
232.962146,233.165083,233.07599566666667,233.100758,3,0,0.0,232.913,233.191
233.224106,233.349351,233.2867285,233.2867285,2,0,0.0,233.191,233.468
233.547199,233.691023,233.619111,233.619111,2,1,0.5,233.468,233.745
233.933375,233.933375,233.933375,233.933375,1,0,0.0,233.745,234.023
234.303678,234.303678,234.303678,234.303678,1,0,0.0,234.3,234.577
234.690719,234.842231,234.745898,234.704744,3,0,0.0,234.577,234.854
235.043902,235.043902,235.043902,235.043902,1,1,1.0,234.854,235.132
235.696114,235.696114,235.696114,235.696114,1,1,1.0,235.686,235.963
236.181276,236.181276,236.181276,236.181276,1,0,0.0,235.963,236.241
236.256137,236.256137,236.256137,236.256137,1,0,0.0,236.241,236.518
236.734972,236.734972,236.734972,236.734972,1,1,1.0,236.518,236.795
236.856568,236.883186,236.869877,236.869877,2,0,0.0,236.795,237.073
237.210586,237.307793,237.2591895,237.2591895,2,0,0.0,237.073,237.35
237.505145,237.505145,237.505145,237.505145,1,0,0.0,237.35,237.627
237.774405,237.774405,237.774405,237.774405,1,1,1.0,237.627,237.904
237.981085,238.018989,238.00003700000002,238.00003700000002,2,0,0.0,237.904,238.182
238.197066,238.436207,238.3492715,238.3819065,4,0,0.0,238.182,238.459
238.609173,238.616546,238.6128595,238.6128595,2,1,0.5,238.459,238.736
238.820754,238.860886,238.84082,238.84082,2,1,0.5,238.736,239.014
239.162475,239.162475,239.162475,239.162475,1,1,1.0,239.014,239.291
239.407426,239.407426,239.407426,239.407426,1,1,1.0,239.291,239.568
239.835117,239.835117,239.835117,239.835117,1,0,0.0,239.568,239.845
240.07105,240.07105,240.07105,240.07105,1,0,0.0,239.845,240.123
240.243919,240.356042,240.28872175,240.277463,4,1,0.25,240.123,240.4
240.473663,240.664325,240.57157216666667,240.5512955,6,0,0.0,240.4,240.677
241.194692,241.21264,241.203666,241.203666,2,0,0.0,240.955,241.232
